song,songLabel,release_date,performerLabel,nominatedLabel,awardLabel
http://www.wikidata.org/entity/Q48756289,Dommage,2017-09-08T00:00:00Z,Bigflo & Oli,,Victoire de la chanson originale de l'année
http://www.wikidata.org/entity/Q55713473,Q55713473,2017-09-12T00:00:00Z,Serhii Babkin,YUNA for Best Song,
http://www.wikidata.org/entity/Q55713473,Q55713473,2017-09-12T00:00:00Z,Serhii Babkin,YUNA for Best Ukrainian Song,
http://www.wikidata.org/entity/Q50005140,Caméléon,2017-11-10T00:00:00Z,Gims,,gold record
http://www.wikidata.org/entity/Q50005140,Caméléon,2017-12-12T00:00:00Z,Gims,,gold record
http://www.wikidata.org/entity/Q56242127,U.S.A.,2018-01-01T00:00:00Z,Da Pump,,Japan Record Awards
http://www.wikidata.org/entity/Q56242127,U.S.A.,2018-01-01T00:00:00Z,Joe Yellow,,Japan Record Awards
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,Kendrick Lamar,Grammy Awards,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,SZA,Grammy Awards,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,Kendrick Lamar,Golden Globe Award,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,SZA,Golden Globe Award,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,Kendrick Lamar,91st Academy Awards,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,SZA,91st Academy Awards,
http://www.wikidata.org/entity/Q47555246,Pray for Me,2018-02-02T00:00:00Z,Kendrick Lamar,Juno Awards,
http://www.wikidata.org/entity/Q47555246,Pray for Me,2018-02-02T00:00:00Z,The Weeknd,Juno Awards,
http://www.wikidata.org/entity/Q48319432,Non mi avete fatto niente,2018-02-07T00:00:00Z,Fabrizio Moro,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q48319432,Non mi avete fatto niente,2018-02-07T00:00:00Z,Ermal Meta,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q51010649,In My Blood,2018-03-22T00:00:00Z,Shawn Mendes,Juno Awards,
http://www.wikidata.org/entity/Q55064534,Zusammen,2018-03-23T00:00:00Z,Die Fantastischen Vier,,1 Live Krone
http://www.wikidata.org/entity/Q56809968,Plakala,2018-04-27T00:00:00Z,Kazka,,YUNA for Best Ukrainian Song
http://www.wikidata.org/entity/Q53602347,Four Out of Five,2018-05-13T00:00:00Z,Arctic Monkeys,,Q54397180
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,J Balvin,,Billboard Music Award for Top Rap Song
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Cardi B,,Billboard Music Award for Top Rap Song
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Bad Bunny,,Billboard Music Award for Top Rap Song
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,J Balvin,,MTV Video Music Award for Song of Summer
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Cardi B,,MTV Video Music Award for Song of Summer
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Bad Bunny,,MTV Video Music Award for Song of Summer
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,J Balvin,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Cardi B,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Bad Bunny,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,J Balvin,BET Award for Best Collaboration,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Cardi B,BET Award for Best Collaboration,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Bad Bunny,BET Award for Best Collaboration,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,J Balvin,BET Award for Viewer's Choice,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Cardi B,BET Award for Viewer's Choice,
http://www.wikidata.org/entity/Q54805365,I Like It,2018-05-25T00:00:00Z,Bad Bunny,BET Award for Viewer's Choice,
http://www.wikidata.org/entity/Q91428057,Malamente,2018-05-30T00:00:00Z,Rosalía,,Latin Grammy Award for Best Urban Fusion/Performance
http://www.wikidata.org/entity/Q55079270,Growing Pains,2018-06-15T00:00:00Z,Alessia Cara,Juno Awards,
http://www.wikidata.org/entity/Q112333257,Gluboko,2018-07-13T00:00:00Z,Monatik,,YUNA for Best Music Video
http://www.wikidata.org/entity/Q112333257,Gluboko,2018-07-13T00:00:00Z,Dorofeeva,,YUNA for Best Music Video
http://www.wikidata.org/entity/Q61439722,Calma,2018-07-20T00:00:00Z,Alicia Keys,,Latin Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q61439722,Calma,2018-07-20T00:00:00Z,Farruko,,Latin Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q61439722,Calma,2018-07-20T00:00:00Z,Pedro Capó,,Latin Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q61439722,Calma,2018-07-20T00:00:00Z,Alicia Keys,,Latin Grammy Award for Best Urban Fusion/Performance
http://www.wikidata.org/entity/Q61439722,Calma,2018-07-20T00:00:00Z,Farruko,,Latin Grammy Award for Best Urban Fusion/Performance
http://www.wikidata.org/entity/Q61439722,Calma,2018-07-20T00:00:00Z,Pedro Capó,,Latin Grammy Award for Best Urban Fusion/Performance
http://www.wikidata.org/entity/Q57461813,Always Remember Us This Way,2018-11-24T00:00:00Z,Lady Gaga,,62nd Annual Grammy Awards
http://www.wikidata.org/entity/Q86675907,Life,2018-11-30T00:00:00Z,Zivert,,Russian National Music Award for Best Female Pop Artist
http://www.wikidata.org/entity/Q86675907,Life,2018-11-30T00:00:00Z,Zivert,,Russian National Music Award for Song of the Year
http://www.wikidata.org/entity/Q62587323,Old Town Road,2018-12-03T00:00:00Z,Lil Nas X,,62nd Annual Grammy Awards
http://www.wikidata.org/entity/Q85806617,The Bones,2019-01-01T00:00:00Z,Maren Morris,,Country Music Association Award for Song of the Year
http://www.wikidata.org/entity/Q85806617,The Bones,2019-01-01T00:00:00Z,Maren Morris,,Country Music Association Award for Single of the Year
http://www.wikidata.org/entity/Q63455810,Reiwa,2019-01-01T00:00:00Z,Golden Bomber,,61st Japan Record Awards
http://www.wikidata.org/entity/Q65427491,Spirit,2019-01-01T00:00:00Z,Beyoncé,,62nd Annual Grammy Awards
http://www.wikidata.org/entity/Q75219631,Watermelon Sugar,2019-01-01T00:00:00Z,Harry Styles,,Grammy Award for Best Pop Solo Performance
http://www.wikidata.org/entity/Q108415675,Love Nwantiti,2019-01-01T00:00:00Z,CKay,Brit Award for International Song,
http://www.wikidata.org/entity/Q61641509,Soldi,2019-02-06T00:00:00Z,Mahmood,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q63254249,Mi Persona Favorita,2019-03-28T00:00:00Z,Alejandro Sanz,,Latin Grammy Award for Record of the Year
http://www.wikidata.org/entity/Q63254249,Mi Persona Favorita,2019-03-28T00:00:00Z,Camila Cabello,,Latin Grammy Award for Record of the Year
http://www.wikidata.org/entity/Q63254249,Mi Persona Favorita,2019-03-28T00:00:00Z,Alejandro Sanz,,Latin Grammy Award for Best Pop Song
http://www.wikidata.org/entity/Q63254249,Mi Persona Favorita,2019-03-28T00:00:00Z,Camila Cabello,,Latin Grammy Award for Best Pop Song
http://www.wikidata.org/entity/Q62618893,Bad Guy,2019-03-29T00:00:00Z,Justin Bieber,,Grammy Award for Record of the Year
http://www.wikidata.org/entity/Q62618893,Bad Guy,2019-03-29T00:00:00Z,Billie Eilish,,Grammy Award for Record of the Year
