song,songLabel,release_date,performerLabel,nominated,nominatedLabel,nomination_year,award,awardLabel,award_year
http://www.wikidata.org/entity/Q30610241,Run,2017-06-02T00:00:00Z,Foo Fighters,,,,http://www.wikidata.org/entity/Q282636,Grammy Award for Best Rock Song,
http://www.wikidata.org/entity/Q30610241,Run,2017-06-02T00:00:00Z,Foo Fighters,http://www.wikidata.org/entity/Q1542182,Grammy Award for Best Rock Performance,,,,
http://www.wikidata.org/entity/Q60193465,Sayonara,2017-06-26T00:00:00Z,Gazzelle,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Feduk,http://www.wikidata.org/entity/Q112765425,Russian National Music Award for Dance Hit of the Year,,,,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Eldzhey,http://www.wikidata.org/entity/Q112765425,Russian National Music Award for Dance Hit of the Year,,,,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Feduk,http://www.wikidata.org/entity/Q112769562,Premiya RU.TV for Best Song,,,,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Eldzhey,http://www.wikidata.org/entity/Q112769562,Premiya RU.TV for Best Song,,,,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Feduk,,,,http://www.wikidata.org/entity/Q112744676,Premiya RU.TV for Best Debut,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Eldzhey,,,,http://www.wikidata.org/entity/Q112744676,Premiya RU.TV for Best Debut,
http://www.wikidata.org/entity/Q48756289,Dommage,2017-09-08T00:00:00Z,Bigflo & Oli,,,,http://www.wikidata.org/entity/Q16682538,Victoire de la chanson originale de l'année,
http://www.wikidata.org/entity/Q55713473,Q55713473,2017-09-12T00:00:00Z,Serhii Babkin,http://www.wikidata.org/entity/Q50808837,YUNA for Best Song,,,,
http://www.wikidata.org/entity/Q55713473,Q55713473,2017-09-12T00:00:00Z,Serhii Babkin,http://www.wikidata.org/entity/Q50808840,YUNA for Best Ukrainian Song,,,,
http://www.wikidata.org/entity/Q50005140,Caméléon,2017-11-10T00:00:00Z,Gims,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q50005140,Caméléon,2017-12-12T00:00:00Z,Gims,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q56242127,U.S.A.,2018-01-01T00:00:00Z,Da Pump,,,,http://www.wikidata.org/entity/Q241257,Japan Record Awards,
http://www.wikidata.org/entity/Q56242127,U.S.A.,2018-01-01T00:00:00Z,Joe Yellow,,,,http://www.wikidata.org/entity/Q241257,Japan Record Awards,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,Kendrick Lamar,http://www.wikidata.org/entity/Q41254,Grammy Awards,,,,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,SZA,http://www.wikidata.org/entity/Q41254,Grammy Awards,,,,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,Kendrick Lamar,http://www.wikidata.org/entity/Q1011547,Golden Globe Award,,,,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,SZA,http://www.wikidata.org/entity/Q1011547,Golden Globe Award,,,,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,Kendrick Lamar,http://www.wikidata.org/entity/Q59456966,91st Academy Awards,,,,
http://www.wikidata.org/entity/Q47460492,All the Stars,2018-01-04T00:00:00Z,SZA,http://www.wikidata.org/entity/Q59456966,91st Academy Awards,,,,
http://www.wikidata.org/entity/Q47555246,Pray for Me,2018-02-02T00:00:00Z,Kendrick Lamar,http://www.wikidata.org/entity/Q507057,Juno Awards,,,,
http://www.wikidata.org/entity/Q47555246,Pray for Me,2018-02-02T00:00:00Z,The Weeknd,http://www.wikidata.org/entity/Q507057,Juno Awards,,,,
